n = 1e-05 | M = 2 | E = 4 | cost = 0.6932
n = 1e-05 | M = 4 | E = 4 | cost = 0.6928
n = 1e-05 | M = 8 | E = 4 | cost = 0.6931
n = 1e-05 | M = 16 | E = 4 | cost = 0.6933
n = 1e-05 | M = 32 | E = 4 | cost = 0.693
n = 1e-05 | M = 64 | E = 4 | cost = 0.6939
n = 1e-05 | M = 128 | E = 4 | cost = 0.6925
n = 1e-05 | M = 256 | E = 4 | cost = 0.6936
n = 1e-05 | M = 512 | E = 4 | cost = 0.6927
n = 1e-05 | M = 1024 | E = 4 | cost = 0.706
n = 0.055564444444444444 | M = 2 | E = 4 | cost = 0.6931
n = 0.055564444444444444 | M = 4 | E = 9 | cost = 0.6926
n = 0.055564444444444444 | M = 8 | E = 9 | cost = 0.6928
n = 0.055564444444444444 | M = 16 | E = 32 | cost = 0.6921
n = 0.055564444444444444 | M = 32 | E = 32 | cost = 0.6917
n = 0.055564444444444444 | M = 64 | E = 4395 | cost = 0.0915
n = 0.055564444444444444 | M = 128 | E = 4201 | cost = 0.089
n = 0.055564444444444444 | M = 256 | E = 3987 | cost = 0.0872
n = 0.055564444444444444 | M = 512 | E = 3720 | cost = 0.0869
n = 0.055564444444444444 | M = 1024 | E = 3491 | cost = 0.0872
n = 0.11111888888888888 | M = 2 | E = 25 | cost = 0.6923
n = 0.11111888888888888 | M = 4 | E = 17 | cost = 0.6922
n = 0.11111888888888888 | M = 8 | E = 22 | cost = 0.6922
n = 0.11111888888888888 | M = 16 | E = 49 | cost = 0.6909
n = 0.11111888888888888 | M = 32 | E = 3365 | cost = 0.093
n = 0.11111888888888888 | M = 64 | E = 3183 | cost = 0.0871
n = 0.11111888888888888 | M = 128 | E = 3079 | cost = 0.084
n = 0.11111888888888888 | M = 256 | E = 2932 | cost = 0.082
n = 0.11111888888888888 | M = 512 | E = 2764 | cost = 0.0816
n = 0.11111888888888888 | M = 1024 | E = 2559 | cost = 0.082
n = 0.16667333333333334 | M = 2 | E = 28 | cost = 0.692
n = 0.16667333333333334 | M = 4 | E = 23 | cost = 0.6919
n = 0.16667333333333334 | M = 8 | E = 30 | cost = 0.6918
n = 0.16667333333333334 | M = 16 | E = 3009 | cost = 0.0921
n = 0.16667333333333334 | M = 32 | E = 2793 | cost = 0.0925
n = 0.16667333333333334 | M = 64 | E = 2664 | cost = 0.0858
n = 0.16667333333333334 | M = 128 | E = 2593 | cost = 0.0819
n = 0.16667333333333334 | M = 256 | E = 2446 | cost = 0.0797
n = 0.16667333333333334 | M = 512 | E = 2313 | cost = 0.0793
n = 0.16667333333333334 | M = 1024 | E = 4 | cost = 0.7779
n = 0.22222777777777777 | M = 2 | E = 27 | cost = 0.6919
n = 0.22222777777777777 | M = 4 | E = 3449 | cost = 0.0945
n = 0.22222777777777777 | M = 8 | E = 3050 | cost = 0.0893
n = 0.22222777777777777 | M = 16 | E = 2618 | cost = 0.0914
n = 0.22222777777777777 | M = 32 | E = 2410 | cost = 0.0931
n = 0.22222777777777777 | M = 64 | E = 2295 | cost = 0.0856
n = 0.22222777777777777 | M = 128 | E = 2251 | cost = 0.0809
n = 0.22222777777777777 | M = 256 | E = 2171 | cost = 0.0782
n = 0.22222777777777777 | M = 512 | E = 2026 | cost = 0.0779
n = 0.22222777777777777 | M = 1024 | E = 2241 | cost = 0.0768
n = 0.2777822222222222 | M = 2 | E = 3291 | cost = 0.098
n = 0.2777822222222222 | M = 4 | E = 3126 | cost = 0.0923
n = 0.2777822222222222 | M = 8 | E = 2790 | cost = 0.0874
n = 0.2777822222222222 | M = 16 | E = 2362 | cost = 0.0913
n = 0.2777822222222222 | M = 32 | E = 2137 | cost = 0.0939
n = 0.2777822222222222 | M = 64 | E = 2044 | cost = 0.086
n = 0.2777822222222222 | M = 128 | E = 2032 | cost = 0.0803
n = 0.2777822222222222 | M = 256 | E = 1971 | cost = 0.0771
n = 0.2777822222222222 | M = 512 | E = 7 | cost = 0.7112
n = 0.2777822222222222 | M = 1024 | E = 2086 | cost = 0.0757
n = 0.33333666666666667 | M = 2 | E = 3106 | cost = 0.0947
n = 0.33333666666666667 | M = 4 | E = 2909 | cost = 0.0905
n = 0.33333666666666667 | M = 8 | E = 2584 | cost = 0.086
n = 0.33333666666666667 | M = 16 | E = 2137 | cost = 0.0914
n = 0.33333666666666667 | M = 32 | E = 1932 | cost = 0.0947
n = 0.33333666666666667 | M = 64 | E = 1855 | cost = 0.0865
n = 0.33333666666666667 | M = 128 | E = 1869 | cost = 0.0799
n = 0.33333666666666667 | M = 256 | E = 1820 | cost = 0.0763
n = 0.33333666666666667 | M = 512 | E = 4 | cost = 0.7479
n = 0.33333666666666667 | M = 1024 | E = 1998 | cost = 0.0747
